Language,Category,File,LineCount,Weight,Present
python,tutorials,_index.md,14,100000,true
python,tutorials,overview.md,142,1000000,true
python,how-to,_index.md,33,200000,true
python,how-to,overview.md,178,1000000,true
python,explanation,_index.md,11,400000,true
python,explanation,overview.md,23,1000000,true
python,reference,_index.md,12,300000,true
python,reference,overview.md,9,1000000,true
python,tutorials,initial-setup.md,308,1000002,true
python,tutorials,quick-start.md,440,1000003,true
python,tutorials,beginner.md,1253,1000004,true
python,tutorials,intermediate.md,974,1000005,true
python,tutorials,advanced.md,822,1000006,true
python,how-to,cookbook.md,5184,1000030,true
python,how-to,guide-count,23,N/A,true
python,explanation,best-practices.md,712,1000030,true
python,explanation,anti-patterns.md,847,1000040,true
python,reference,cheat-sheet.md,1205,1000030,true
python,reference,glossary.md,1541,1000040,true
python,reference,resources.md,814,1000050,true
golang,tutorials,_index.md,14,100000,true
golang,tutorials,overview.md,139,1000000,true
golang,how-to,_index.md,33,200000,true
golang,how-to,overview.md,167,1000000,true
golang,explanation,_index.md,11,400000,true
golang,explanation,overview.md,9,1000000,true
golang,reference,_index.md,12,300000,true
golang,reference,overview.md,9,1000000,true
golang,tutorials,initial-setup.md,274,1000002,true
golang,tutorials,quick-start.md,394,1000003,true
golang,tutorials,beginner.md,2278,1000004,true
golang,tutorials,intermediate.md,1648,1000005,true
golang,tutorials,advanced.md,1342,1000006,true
golang,how-to,cookbook.md,5169,1000030,true
golang,how-to,guide-count,23,N/A,true
golang,explanation,best-practices.md,750,1000030,true
golang,explanation,anti-patterns.md,932,1000040,true
golang,reference,cheat-sheet.md,1404,1000030,true
golang,reference,glossary.md,1254,1000040,true
golang,reference,resources.md,851,1000050,true
java,tutorials,_index.md,14,100000,true
java,tutorials,overview.md,154,1000000,true
java,how-to,_index.md,33,200000,true
java,how-to,overview.md,166,1000000,true
java,explanation,_index.md,11,400000,true
java,explanation,overview.md,9,1000000,true
java,reference,_index.md,12,300000,true
java,reference,overview.md,9,1000000,true
java,tutorials,initial-setup.md,367,1000002,true
java,tutorials,quick-start.md,746,1000003,true
java,tutorials,beginner.md,1566,1000004,true
java,tutorials,intermediate.md,1111,1000005,true
java,tutorials,advanced.md,819,1000006,true
java,how-to,cookbook.md,5367,1000030,true
java,how-to,guide-count,23,N/A,true
java,explanation,best-practices.md,549,1000030,true
java,explanation,anti-patterns.md,812,1000040,true
java,reference,cheat-sheet.md,1157,1000030,true
java,reference,glossary.md,1873,1000040,true
java,reference,resources.md,879,1000050,true
kotlin,tutorials,_index.md,16,100000,true
kotlin,tutorials,overview.md,155,1000000,true
kotlin,how-to,_index.md,35,200000,true
kotlin,how-to,overview.md,190,1000000,true
kotlin,explanation,_index.md,13,400000,true
kotlin,explanation,overview.md,74,1000000,true
kotlin,reference,_index.md,14,300000,true
kotlin,reference,overview.md,34,1000000,true
kotlin,tutorials,initial-setup.md,489,1000002,true
kotlin,tutorials,quick-start.md,1032,1000003,true
kotlin,tutorials,beginner.md,1796,1000004,true
kotlin,tutorials,intermediate.md,1440,1000005,true
kotlin,tutorials,advanced.md,1109,1000006,true
kotlin,how-to,cookbook.md,5023,1000030,true
kotlin,how-to,guide-count,23,N/A,true
kotlin,explanation,best-practices.md,509,1000030,true
kotlin,explanation,anti-patterns.md,636,1000040,true
kotlin,reference,cheat-sheet.md,631,1000030,true
kotlin,reference,glossary.md,1073,1000040,true
kotlin,reference,resources.md,546,1000050,true
rust,tutorials,_index.md,15,100000,true
rust,tutorials,overview.md,137,1000000,true
rust,how-to,_index.md,34,200000,true
rust,how-to,overview.md,145,1000000,true
rust,explanation,_index.md,12,400000,true
rust,explanation,overview.md,322,1000000,true
rust,reference,_index.md,13,300000,true
rust,reference,overview.md,121,1000000,true
rust,tutorials,initial-setup.md,522,1000002,true
rust,tutorials,quick-start.md,1168,1000003,true
rust,tutorials,beginner.md,2384,1000004,true
rust,tutorials,intermediate.md,1373,1000005,true
rust,tutorials,advanced.md,1209,1000006,true
rust,how-to,cookbook.md,5010,1000030,true
rust,how-to,guide-count,23,N/A,true
rust,explanation,best-practices.md,947,1000030,true
rust,explanation,anti-patterns.md,871,1000040,true
rust,reference,cheat-sheet.md,698,1000030,true
rust,reference,glossary.md,869,1000040,true
rust,reference,resources.md,618,1000050,true
elixir,tutorials,_index.md,13,100002,true
elixir,tutorials,overview.md,172,1000000,true
elixir,how-to,_index.md,33,100003,true
elixir,how-to,overview.md,101,1000000,true
elixir,explanation,_index.md,10,100004,true
elixir,explanation,overview.md,126,1000000,true
elixir,reference,_index.md,11,100005,true
elixir,reference,overview.md,158,1000000,true
elixir,tutorials,initial-setup.md,673,1000001,true
elixir,tutorials,quick-start.md,1298,1000002,true
elixir,tutorials,beginner.md,2630,1000003,true
elixir,tutorials,intermediate.md,1914,1000004,true
elixir,tutorials,advanced.md,1572,1000005,true
elixir,how-to,cookbook.md,5625,1000001,true
elixir,how-to,guide-count,24,N/A,true
elixir,explanation,best-practices.md,1075,1000001,true
elixir,explanation,anti-patterns.md,1054,1000002,true
elixir,reference,cheat-sheet.md,692,1000001,true
elixir,reference,glossary.md,1074,1000002,true
elixir,reference,resources.md,617,1000003,true
